Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
leaf,bl01a,Ethernet1,l3spine,sp01,Ethernet5,True
leaf,bl01a,Ethernet2,l3spine,sp02,Ethernet5,True
leaf,bl01a,Ethernet47,mlag_peer,bl01b,Ethernet47,True
leaf,bl01a,Ethernet48,mlag_peer,bl01b,Ethernet48,True
leaf,bl01b,Ethernet1,l3spine,sp01,Ethernet6,True
leaf,bl01b,Ethernet2,l3spine,sp02,Ethernet6,True
leaf,bl01b,Ethernet47,mlag_peer,bl01a,Ethernet47,True
leaf,bl01b,Ethernet48,mlag_peer,bl01a,Ethernet48,True
leaf,le01a,Ethernet1,l3spine,sp01,Ethernet1,True
leaf,le01a,Ethernet2,l3spine,sp02,Ethernet1,True
leaf,le01a,Ethernet5,server,server17,Ethernet1,True
leaf,le01a,Ethernet6,server,server18,Ethernet1,True
leaf,le01a,Ethernet7,server,server21,Ethernet1,True
leaf,le01a,Ethernet8,server,server22,Ethernet1,True
leaf,le01a,Ethernet47,mlag_peer,le01b,Ethernet47,True
leaf,le01a,Ethernet48,mlag_peer,le01b,Ethernet48,True
leaf,le01b,Ethernet1,l3spine,sp01,Ethernet2,True
leaf,le01b,Ethernet2,l3spine,sp02,Ethernet2,True
leaf,le01b,Ethernet5,server,server17,Ethernet2,True
leaf,le01b,Ethernet6,server,server18,Ethernet2,True
leaf,le01b,Ethernet7,server,server21,Ethernet2,True
leaf,le01b,Ethernet8,server,server22,Ethernet2,True
leaf,le01b,Ethernet47,mlag_peer,le01a,Ethernet47,True
leaf,le01b,Ethernet48,mlag_peer,le01a,Ethernet48,True
leaf,le02a,Ethernet1,l3spine,sp01,Ethernet3,True
leaf,le02a,Ethernet2,l3spine,sp02,Ethernet3,True
leaf,le02a,Ethernet5,server,server19,Ethernet1,True
leaf,le02a,Ethernet6,server,server20,Ethernet1,True
leaf,le02a,Ethernet7,server,server23,Ethernet1,True
leaf,le02a,Ethernet8,server,server24,Ethernet1,True
leaf,le02a,Ethernet47,mlag_peer,le02b,Ethernet47,True
leaf,le02a,Ethernet48,mlag_peer,le02b,Ethernet48,True
leaf,le02b,Ethernet1,l3spine,sp01,Ethernet4,True
leaf,le02b,Ethernet2,l3spine,sp02,Ethernet4,True
leaf,le02b,Ethernet5,server,server19,Ethernet2,True
leaf,le02b,Ethernet6,server,server20,Ethernet2,True
leaf,le02b,Ethernet7,server,server23,Ethernet2,True
leaf,le02b,Ethernet8,server,server24,Ethernet2,True
leaf,le02b,Ethernet47,mlag_peer,le02a,Ethernet47,True
leaf,le02b,Ethernet48,mlag_peer,le02a,Ethernet48,True
server,server17,Ethernet1,,,,True
server,server17,Ethernet2,,,,True
server,server18,Ethernet1,,,,True
server,server18,Ethernet2,,,,True
server,server19,Ethernet1,,,,True
server,server19,Ethernet2,,,,True
server,server20,Ethernet1,,,,True
server,server20,Ethernet2,,,,True
server,server21,Ethernet1,,,,True
server,server21,Ethernet2,,,,True
server,server22,Ethernet1,,,,True
server,server22,Ethernet2,,,,True
server,server23,Ethernet1,,,,True
server,server23,Ethernet2,,,,True
server,server24,Ethernet1,,,,True
server,server24,Ethernet2,,,,True
l3spine,sp01,Ethernet1,leaf,le01a,Ethernet1,True
l3spine,sp01,Ethernet2,leaf,le01b,Ethernet1,True
l3spine,sp01,Ethernet3,leaf,le02a,Ethernet1,True
l3spine,sp01,Ethernet4,leaf,le02b,Ethernet1,True
l3spine,sp01,Ethernet5,leaf,bl01a,Ethernet1,True
l3spine,sp01,Ethernet6,leaf,bl01b,Ethernet1,True
l3spine,sp01,Ethernet47,mlag_peer,sp02,Ethernet47,True
l3spine,sp01,Ethernet48,mlag_peer,sp02,Ethernet48,True
l3spine,sp02,Ethernet1,leaf,le01a,Ethernet2,True
l3spine,sp02,Ethernet2,leaf,le01b,Ethernet2,True
l3spine,sp02,Ethernet3,leaf,le02a,Ethernet2,True
l3spine,sp02,Ethernet4,leaf,le02b,Ethernet2,True
l3spine,sp02,Ethernet5,leaf,bl01a,Ethernet2,True
l3spine,sp02,Ethernet6,leaf,bl01b,Ethernet2,True
l3spine,sp02,Ethernet47,mlag_peer,sp01,Ethernet47,True
l3spine,sp02,Ethernet48,mlag_peer,sp01,Ethernet48,True
